Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.27000444166121945
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.25287159796684017
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,0.26325705743605093
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,0.25171932866496427
file:f5-size:15-opt:481.069368,481.069368,2.1585052307766978e-13,481.0693679999994,481.0693680000003,0.26291431919220953
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.24839258963061916
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,0.2610658214938256
file:f8-size:23-opt:9767.0,9753.870967741936,1.007774151729891,9752.0,9758.0,0.24423873809076124
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,0.22371201361379317
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.25334654315825433
file:Knapsack1-size:30-opt:99798.0,99521.6129032258,347.7794701150526,99084.0,99798.0,0.2398922981754426
file:Knapsack2-size:50-opt:142156.0,139080.90322580645,1101.095505946419,136880.0,141021.0,0.31931378764490925
file:Knapsack3-size:200-opt:100236.0,100096.54838709677,52.01106501981398,100002.0,100158.0,0.2849863652260073
file:Knapsack4-size:400-opt:3967180.0,3951796.35483871,4146.252412436787,3942863.0,3958821.0,0.8255120169731879
file:Knapsack5-size:1000-opt:109899.0,105607.70967741935,585.2324155657546,104274.0,106677.0,0.32741664301964546
