Problem,Average Fitness HC,Average Fitness HCRR,Average Fitness SA,Average Fitness GRASP
file:f1-size:10-opt:295.0,294.0,294.0,294.0,294.0
file:f2-size:20-opt:1024.0,1024.0,1024.0,1024.0,1024.0
file:f3-size:4-opt:35.0,35.0,35.0,35.0,35.0
file:f4-size:4-opt:23.0,20.64516129032258,22.0,22.0,22.0
file:f5-size:15-opt:481.069368,446.28318977419354,481.06936800000017,481.069368,481.06936800000017
file:f6-size:10-opt:52.0,52.0,52.0,52.0,52.0
file:f7-size:7-opt:107.0,87.7741935483871,102.0,102.0,102.0
file:f8-size:23-opt:9767.0,9759.225806451614,9766.064516129032,9753.870967741936,9767.0
file:f9-size:5-opt:130.0,130.0,130.0,130.0,130.0
file:f10-size:20-opt:1025.0,1025.0,1025.0,1025.0,1025.0
