Problem                                 ,Average Fitness        ,Standard Deviation     ,Best Fitness           ,Worst Fitness  ,Average Execution Time ,Execution Time
file:f1-size:10-opt:295.0               ,    294.0              ,0.0                    ,    294.0              ,    294.0      ,                       ,  3.237745907998854
file:f2-size:20-opt:1024.0              ,   1024.0              ,0.0                    ,   1024.0              ,   1024.0      ,                       ,  0.0016954175887569304
file:f3-size:4-opt:35.0                 ,     35.0              ,0.0                    ,     35.0              ,     35.0      ,                       ,  0.0002895093733264554
file:f4-size:4-opt:23.0                 ,     22.0              ,0.0                    ,     22.0              ,     22.0      ,                       ,  3.3222017595844884
file:f5-size:15-opt:481.069368          ,    481.06936800000017 ,1.5783317550611613e-13 ,    481.06936800000005 ,    481.069368 ,                       ,  0.006434540594777753
file:f6-size:10-opt:52.0                ,     52.0              ,0.0                    ,     52.0              ,     52.0      ,                       ,  0.0004753143556656376
file:f7-size:7-opt:107.0                ,    102.0              ,0.0                    ,    102.0              ,    102.0      ,                       ,  3.7420461331644366
file:f8-size:23-opt:9767.0              ,   9767.0              ,0.0                    ,   9767.0              ,   9767.0      ,                       ,  0.1003332753335276
file:f9-size:5-opt:130.0                ,    130.0              ,0.0                    ,    130.0              ,    130.0      ,                       ,  0.00019294984879032257
file:f10-size:20-opt:1025.0             ,   1025.0              ,0.0                    ,   1025.0              ,   1025.0      ,                       ,  0.00170291623761577
file:Knapsack1-size:30-opt:99798.0      ,  99798.0              ,0.0                    ,  99798.0              ,  99798.0      ,                       ,  0.10313749313354492
file:Knapsack2-size:50-opt:142156.0     , 142000.1935483871     ,112.72673763456268     , 142156.0              , 141832.0      ,                       ,  8.243415778683078
file:Knapsack3-size:200-opt:100236.0    , 100236.0              ,0.0                    , 100236.0              , 100236.0      ,                       ,  0.03487948448427262
file:Knapsack4-size:400-opt:3967180.0   ,3965118.580645161      ,420.5902744717582      ,3965920.0              ,3964246.0      ,                       , 62.991189941283196
file:Knapsack5-size:1000-opt:109899.0   , 108613.83870967742    ,164.6445039930251      , 108922.0              , 108251.0      ,                       , 18.19194713715584
file:Knapsack6-size:10000-opt:1099893.0 ,1086827.0967741935     ,1824.26990000222       ,1091831.0              ,1082811.0      ,                       ,181.56951401310582
