Problem                               ,Average Fitness        ,Standard Deviation   ,Best Fitness           ,Worst Fitness  ,Average Execution Time
file:f1-size:10-opt:295.0             ,    294.0              ,0.0                  ,    294.0              ,    294.0      ,0.07547722324248284
file:f2-size:20-opt:1024.0            ,   1024.0              ,0.0                  ,   1024.0              ,   1024.0      ,0.0010110716665944746
file:f3-size:4-opt:35.0               ,     35.0              ,0.0                  ,     35.0              ,     35.0      ,0.00027835753656202747
file:f4-size:4-opt:23.0               ,     22.0              ,0.0                  ,     22.0              ,     22.0      ,0.07499307201754662
file:f5-size:15-opt:481.069368        ,    481.06936800000017 ,1.44021019891617e-13 ,    481.06936800000005 ,    481.069368 ,0.004375080908498456
file:f6-size:10-opt:52.0              ,     52.0              ,0.0                  ,     52.0              ,     52.0      ,0.00015478749429025958
file:f7-size:7-opt:107.0              ,    102.0              ,0.0                  ,    102.0              ,    102.0      ,0.08455251878307711
file:f8-size:23-opt:9767.0            ,   9767.0              ,0.0                  ,   9767.0              ,   9767.0      ,0.014110626712922127
file:f9-size:5-opt:130.0              ,    130.0              ,0.0                  ,    130.0              ,    130.0      ,0.006423704085811492
file:f10-size:20-opt:1025.0           ,   1025.0              ,0.0                  ,   1025.0              ,   1025.0      ,0.0008284045803931451
file:Knapsack1-size:30-opt:99798.0    ,  99798.0              ,0.0                  ,  99798.0              ,  99798.0      ,0.014658189588977445
file:Knapsack2-size:50-opt:142156.0   , 141519.61290322582    ,238.55785494526774   , 141861.0              , 141009.0      ,0.2142531487249559
file:Knapsack3-size:200-opt:100236.0  , 100236.0              ,0.0                  , 100236.0              , 100236.0      ,0.026347037284604965
file:Knapsack4-size:400-opt:3967180.0 ,3963283.4516129033     ,850.0481898563421    ,3965174.0              ,3961616.0      ,0.6165242195129395
file:Knapsack5-size:1000-opt:109899.0 , 107482.12903225806    ,301.84483750980655   , 108234.0              , 106827.0      ,0.2981226982608918
