Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,0.9859042090754355
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.0005390182618171938
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,4.364598181939894e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,0.9472555422013805
file:f5-size:15-opt:481.069368,481.06936800000017,1.5947560449896349e-13,481.06936800000005,481.069368,,0.005770029560212166
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,9.374464711835307e-05
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,1.0531297499133694
file:f8-size:23-opt:9767.0,9767.0,0.0,9767.0,9767.0,,0.0975942765512774
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,5.64513667937248e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0005370878404186617
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,,0.038818213247483774
file:Knapsack2-size:50-opt:142156.0,141830.83870967742,175.80672980149637,141995.0,141443.0,,29.557288108333463
file:Knapsack3-size:200-opt:100236.0,100236.0,0.0,100236.0,100236.0,,0.048237569870487336
file:Knapsack4-size:400-opt:3967180.0,3964650.3870967743,465.32331302005315,3965718.0,3963461.0,,25.62549198827436
file:Knapsack5-size:1000-opt:109899.0,108633.67741935483,126.90798980840898,108907.0,108378.0,,4.259515593128819
file:Knapsack6-size:10000-opt:1099893.0,1086299.064516129,1797.7508158356288,1090329.0,1083219.0,,37.602731266329364
