Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.01953127307276572
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.0022094711180656187
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,0.0002251363569690335
file:f4-size:4-opt:23.0,20.64516129032258,1.492959543923372,22.0,19.0,0.020756144677439043
file:f5-size:15-opt:481.069368,446.28318977419354,17.0416773509481,481.06936800000005,437.9345069999999,0.015514358397453062
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.0002894709187169229
file:f7-size:7-opt:107.0,87.7741935483871,7.917761484806231,102.0,81.0,0.02095833901436098
file:f8-size:23-opt:9767.0,9759.225806451614,4.323302780315179,9767.0,9754.0,0.02674535782106461
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,0.00022434419201266382
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.0025293980875322896
file:Knapsack1-size:30-opt:99798.0,99513.96774193548,342.00985496751576,99798.0,99084.0,0.02961430241984706
file:Knapsack2-size:50-opt:142156.0,139078.83870967742,1114.005157131,141020.0,136883.0,0.051686863745412516
file:Knapsack3-size:200-opt:100236.0,100102.64516129032,63.254503033430304,100236.0,100002.0,0.030751397532801473
file:Knapsack4-size:400-opt:3967180.0,3951874.580645161,4142.765024708494,3959162.0,3943217.0,0.09182401626340804
file:Knapsack5-size:1000-opt:109899.0,106002.7741935484,609.6780064854656,107523.0,104989.0,0.0360112190246582
file:Knapsack6-size:10000-opt:1099893.0,1057853.2258064516,6868.027780532978,1074342.0,1043218.0,0.07238739536654565
