Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,0.9636330450734785
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.0006308786330684539
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,7.518645255796371e-05
file:f4-size:4-opt:23.0,20.838709677419356,1.4612582777943386,22.0,19.0,,0.9436098990901824
file:f5-size:15-opt:481.069368,447.6746369032258,18.035216077604257,481.06936800000005,437.9345069999999,,0.828153871720837
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,0.00011611753894436745
file:f7-size:7-opt:107.0,87.25806451612904,8.393421932547724,102.0,79.0,,0.8727770620776761
file:f8-size:23-opt:9767.0,9747.870967741936,9.050902416187377,9762.0,9733.0,,1.0735276514484036
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,7.224082946777344e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0006169888281053113
file:Knapsack1-size:30-opt:99798.0,98183.3870967742,2067.878399704039,99798.0,94566.0,,0.7170245032156667
file:Knapsack2-size:50-opt:142156.0,139082.12903225806,1100.9209851795638,141020.0,136883.0,,1.6173249829200007
file:Knapsack3-size:200-opt:100236.0,100135.35483870968,49.30585804828074,100236.0,100002.0,,1.239019424684586
file:Knapsack4-size:400-opt:3967180.0,3951877.870967742,4154.967650523775,3959177.0,3943226.0,,7.1657555026392785
file:Knapsack5-size:1000-opt:109899.0,106615.16129032258,496.56478619477,107715.0,105235.0,,1.565881859871649
file:Knapsack6-size:10000-opt:1099893.0,1073532.1935483871,4175.600404340982,1082978.0,1063990.0,,3.976930102994365
