Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.008515442571332377
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.008700286188433248
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,0.006460420546993133
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,0.008046911608788275
file:f5-size:15-opt:481.069368,477.3847010000001,10.559582822376477,437.93450700000005,481.06936800000005,0.008885329769503686
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.00753256582444714
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,0.008113153519168977
file:f8-size:23-opt:9767.0,9755.225806451614,4.756724797720454,9745.0,9763.0,0.010317202537290512
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,0.007540618219683247
file:f10-size:20-opt:1025.0,1024.8064516129032,1.0601081758164508,1019.0,1025.0,0.008669091809180475
file:Knapsack1-size:30-opt:99798.0,99791.35483870968,13.56596402076517,99763.0,99798.0,0.0145170227173836
file:Knapsack2-size:50-opt:142156.0,141371.8064516129,357.74720028703985,140475.0,142018.0,0.019328401934716008
file:Knapsack3-size:200-opt:100236.0,100225.93548387097,26.14837993362047,100158.0,100236.0,0.014164586221018145
file:Knapsack4-size:400-opt:3967180.0,3960799.935483871,1641.734977934366,3957313.0,3964012.0,0.03663415293539724
file:Knapsack5-size:1000-opt:109899.0,105307.74193548386,704.1689207048097,104012.0,106837.0,0.03313349139305853
