Problem                                 ,Average Fitness        ,Standard Deviation     ,Best Fitness           ,Worst Fitness  ,Average Execution Time ,Execution Time
file:f1-size:10-opt:295.0               ,    294.0              ,0.0                    ,    294.0              ,    294.0      ,                       , 2.7151913258337204
file:f2-size:20-opt:1024.0              ,   1024.0              ,0.0                    ,   1024.0              ,   1024.0      ,                       , 0.0018538736527965915
file:f3-size:4-opt:35.0                 ,     35.0              ,0.0                    ,     35.0              ,     35.0      ,                       , 0.0001777679689468876
file:f4-size:4-opt:23.0                 ,     22.0              ,0.0                    ,     22.0              ,     22.0      ,                       , 2.5969391484414377
file:f5-size:15-opt:481.069368          ,    481.06936800000017 ,1.4581910475169878e-13 ,    481.06936800000005 ,    481.069368 ,                       , 0.3906359057272634
file:f6-size:10-opt:52.0                ,     52.0              ,0.0                    ,     52.0              ,     52.0      ,                       , 0.0004745375725530809
file:f7-size:7-opt:107.0                ,    102.0              ,0.0                    ,    102.0              ,    102.0      ,                       , 2.2380755793663765
file:f8-size:23-opt:9767.0              ,   9766.193548387097   ,1.838992621127642      ,   9767.0              ,   9762.0      ,                       , 1.3983353876298474
file:f9-size:5-opt:130.0                ,    130.0              ,0.0                    ,    130.0              ,    130.0      ,                       , 0.0003539208442934098
file:f10-size:20-opt:1025.0             ,   1025.0              ,0.0                    ,   1025.0              ,   1025.0      ,                       , 0.0033095267511183218
file:Knapsack1-size:30-opt:99798.0      ,  99798.0              ,0.0                    ,  99798.0              ,  99798.0      ,                       , 0.11823406527119298
file:Knapsack2-size:50-opt:142156.0     , 141159.06451612903    ,298.05551934473993     , 141761.0              , 140607.0      ,                       , 4.686605684218868
file:Knapsack3-size:200-opt:100236.0    , 100230.96774193548    ,19.162267814754355     , 100236.0              , 100158.0      ,                       , 0.9685948510323802
file:Knapsack4-size:400-opt:3967180.0   ,3960247.3870967743     ,1977.720008191566      ,3964824.0              ,3955722.0      ,                       ,15.751550959002588
file:Knapsack5-size:1000-opt:109899.0   , 107735.93548387097    ,191.75958326287886     , 108368.0              , 107421.0      ,                       , 5.740715472928939
file:Knapsack6-size:10000-opt:1099893.0 ,1079202.1935483871     ,2424.1464266877306     ,1084637.0              ,1075839.0      ,                       ,34.978647139764604
