Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,0.7020612762820336
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.0007377978294126449
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,5.79895511750252e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,0.7227466798597767
file:f5-size:15-opt:481.069368,481.06936800000017,1.5449594496430554e-13,481.06936800000005,481.069368,,0.11386107629345309
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,0.00010098180463237147
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,0.7194589876359508
file:f8-size:23-opt:9767.0,9767.0,0.0,9767.0,9767.0,,0.20805424259554955
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,7.974716924851941e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0008462321373724169
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,,0.025639703196863973
file:Knapsack2-size:50-opt:142156.0,141328.35483870967,404.9464758249397,142156.0,140511.0,,1.7083494047964773
file:Knapsack3-size:200-opt:100236.0,100228.45161290323,23.060703497197128,100236.0,100158.0,,0.3459561717125677
file:Knapsack4-size:400-opt:3967180.0,3960575.35483871,1456.6863755352886,3962632.0,3957578.0,,3.0757194872825377
file:Knapsack5-size:1000-opt:109899.0,107821.67741935483,302.95761303615734,108557.0,107279.0,,1.1228387201986005
file:Knapsack6-size:10000-opt:1099893.0,1078526.064516129,2555.917118847619,1084719.0,1074208.0,,2.7682583562789427
