Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.6990522492316461
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.0007367749367990802
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,6.682642044559602e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,0.7250949490454889
file:f5-size:15-opt:481.069368,481.06936800000017,1.5279999957607447e-13,481.06936800000005,481.069368,0.054477430159045805
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.00011067236623456401
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,0.724917842495826
file:f8-size:23-opt:9767.0,9767.0,0.0,9767.0,9767.0,0.1145866455570344
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,9.142967962449597e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.0008403639639577557
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,0.02071508284538023
file:Knapsack2-size:50-opt:142156.0,141605.74193548388,229.48103692011532,142156.0,141221.0,1.7319296098524524
file:Knapsack3-size:200-opt:100236.0,100236.0,0.0,100236.0,100236.0,0.1214166764290102
file:Knapsack4-size:400-opt:3967180.0,3961916.9032258065,1077.3572012205852,3964363.0,3958962.0,3.1258123613172963
file:Knapsack5-size:1000-opt:109899.0,107816.29032258065,260.04989515641745,108371.0,107291.0,1.2593783178637106
file:Knapsack6-size:10000-opt:1099893.0,1077552.4193548388,3117.7475924051278,1084745.0,1072300.0,3.502631333566481
