Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.00988193481199203
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.008957024543516098
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,0.00940445161634876
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,0.009179792096537928
file:f5-size:15-opt:481.069368,479.6779208709678,7.621269801467683,437.934507,481.06936800000017,0.0092546324576101
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.008955732468635805
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,0.009138568755119078
file:f8-size:23-opt:9767.0,9748.451612903225,3.098789666715568,9740.0,9754.0,0.008445362890920332
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,0.00819832278836158
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.008952979118593277
file:Knapsack1-size:30-opt:99798.0,99513.6129032258,341.7584203761817,99084.0,99798.0,0.011378972761092647
file:Knapsack2-size:50-opt:142156.0,139109.32258064515,1108.5484082172877,136880.0,141114.0,0.01566464670242802
file:Knapsack3-size:200-opt:100236.0,100101.58064516129,50.13258176498071,100002.0,100158.0,0.01034994279184649
file:Knapsack4-size:400-opt:3967180.0,3951798.8387096776,4149.220837052493,3942863.0,3958821.0,0.03148437315417874
file:Knapsack5-size:1000-opt:109899.0,105471.35483870968,635.5034351008451,103821.0,106593.0,0.012992428195091986
