Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.9830378101718041
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.004229953212122764
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,0.00010112793214859502
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,0.9208675815213111
file:f5-size:15-opt:481.069368,481.06936799999994,2.2086264577958443e-13,481.06936800000005,481.06936799999914,0.6066478067828763
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.00015814073624149445
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,0.9240272583500031
file:f8-size:23-opt:9767.0,9754.0,0.0,9754.0,9754.0,0.8432466829976728
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,0.00011377180776288432
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.003569387620495212
file:Knapsack1-size:30-opt:99798.0,99521.6129032258,347.7794701150526,99798.0,99084.0,0.40006480678435297
file:Knapsack2-size:50-opt:142156.0,139083.8064516129,1106.3133610607813,141111.0,136880.0,0.8730362846005347
file:Knapsack3-size:200-opt:100236.0,100096.54838709677,52.01106501981398,100158.0,100002.0,0.9707638063738423
file:Knapsack4-size:400-opt:3967180.0,3951796.35483871,4146.252412436787,3958821.0,3942863.0,1.448295001060732
file:Knapsack5-size:1000-opt:109899.0,105535.93548387097,627.7737899287769,106959.0,104030.0,1.0100396602384505
file:Knapsack6-size:10000-opt:1099893.0,1073612.0,3904.767606979464,1080910.0,1064617.0,2.462619827639672
