Problem;Average Fitness;Standard Deviation;Best Fitness;Worst Fitness;Execution Time
file:f1-size:10-opt:295.0               ;294,0;0,0;294,0;294,0;2,70734479
file:f2-size:20-opt:1024.0              ;1024,0;0,0;1.024,0;1.024,0;0,00154515
file:f3-size:4-opt:35.0                 ;35,0;0,0;35,0;35,0;0,00012874
file:f4-size:4-opt:23.0                 ;22,0;0,0;22,0;22,0;2,64578479
file:f5-size:15-opt:481.069368          ;481,1;1,5783E-13;481,069368;481,069368;0,04351743
file:f6-size:10-opt:52.0                ;52,0;0,0;52,0;52,0;0,00050187
file:f7-size:7-opt:107.0                ;102,0;0,0;102,0;102,0;2,89727221
file:f8-size:23-opt:9767.0              ;9767,0;0,0;9.767,0;9.767,0;0,74154622
file:f9-size:5-opt:130.0                ;130,0;0,0;130,0;130,0;0,00038051
file:f10-size:20-opt:1025.0             ;1025,0;0,0;1.025,0;1.025,0;0,00156147
file:Knapsack1-size:30-opt:99798.0      ;99798,0;0,0;99.798,0;99.798,0;0,1489066
file:Knapsack2-size:50-opt:142156.0     ;141778,4;189,43460429;141.995,0;141.309,0;6,54417706
file:Knapsack3-size:200-opt:100236.0    ;100236,0;0,0;100.236,0;100.236,0;0,22079063
file:Knapsack4-size:400-opt:3967180.0   ;3964090,5;576,30132344;3.965.779,0;3.963.067,0;46,43996231
file:Knapsack5-size:1000-opt:109899.0   ;108615,4;207,15019912;109.156,0;108.271,0;6,46885347
file:Knapsack6-size:10000-opt:1099893.0 ;1085843,2;1708,45331102;1.089.879,0;1.083.305,0;41,97381593
