Problem;Average Fitness;Standard Deviation;Best Fitness;Worst Fitness;Execution Time
file:f1-size:10-opt:295.0;294;0;294;294;3,78184705396
file:f2-size:20-opt:1024.0;1024;0;1024;1024;0,00966561994
file:f3-size:4-opt:35.0;35;0;35;35;0,00061358175
file:f4-size:4-opt:23.0;22;0;22;22;3,32741997319
file:f5-size:15-opt:481.069368;481,069368;1,41465311E-13;481,06936800;481.069.368;0,07203031355
file:f6-size:10-opt:52.0;52;0;52;52;0,00071063349
file:f7-size:7-opt:107.0;102;0;102;102;3,37838949696
file:f8-size:23-opt:9767.0;9.744,968;3;9753;9741;2,34393232869
file:f9-size:5-opt:130.0;130;0;130;130;0,00040069703
file:f10-size:20-opt:1025.0;1025;0;1025;1025;0,00772877662
file:Knapsack1-size:30-opt:99798.0;98.185,6452;2.069,62044;99798;94566;1,63172927980
file:Knapsack2-size:50-opt:142156.0;139.184,1290;1.062,28068;141261;137145;3,91943164026
file:Knapsack3-size:200-opt:100236.0;100.122,7742;51,81027;100236;100002;3,84424402637
file:Knapsack4-size:400-opt:3967180.0;3.951.777,1935;4.182,81006;3959223;3942863;5,74794753136
file:Knapsack5-size:1000-opt:109899.0;106.166,3226;684,77321;107551;105039;4,73238911936
file:Knapsack6-size:10000-opt:1099893.0;1.070.934,9355;4.695,01078;1081816;1063596;9,01165989907
